Symbol	 Ensemble  Acc 	GeneID
ALG2	ENSG00000119523.8	85365.0
ALG3	ENSG00000214160.5	10195.0
ALG3P1	ENSG00000251568.1	442131.0
ALG8	ENSG00000159063.8	79053.0
ALG9	ENSG00000086848.10	79796.0
ALG9-IT1	ENSG00000254450.1	100874303.0
ALKBH3	ENSG00000166199.8	221120.0
ALKBH3-AS1	ENSG00000244926.2	100507300.0
ALKBH4	ENSG00000160993.3	54784.0
ALKBH8	ENSG00000137760.10	91801.0
ALMS1	ENSG00000116127.13	7840.0
ALMS1-IT1	ENSG00000230002.2	100874291.0
ALOX5	ENSG00000012779.6	240.0
ALOX5AP	ENSG00000132965.5	241.0
ALPI	ENSG00000163295.4	248.0
ALPK1	ENSG00000073331.13	80216.0
ALPL	ENSG00000162551.9	249.0
ALPP	ENSG00000163283.6	250.0
ALPPL2	ENSG00000163286.3	251.0
ALS2	ENSG00000003393.10	57679.0
ALS2CL	ENSG00000178038.12	259173.0
ALX4	ENSG00000052850.5	60529.0
AMACR	ENSG00000242110.3	23600.0
AMBP	ENSG00000106927.7	259.0
AMBRA1	ENSG00000110497.10	55626.0
AMD1	ENSG00000123505.10	262.0
AMD1P1	ENSG00000228339.1	100133024.0
AMDHD1	ENSG00000139344.3	144193.0
AMER2	ENSG00000165566.11	219287.0
AMER3	ENSG00000178171.6	205147.0
AMHR2	ENSG00000135409.6	269.0
AMIGO1	ENSG00000181754.6	57463.0
AMMECR1L	ENSG00000144233.5	83607.0
AMN1	ENSG00000151743.6	196394.0
AMOTL1	ENSG00000166025.13	154810.0
AMOTL2	ENSG00000114019.10	51421.0
AMPD2	ENSG00000116337.11	271.0
AMPD3	ENSG00000133805.11	272.0
AMT	ENSG00000145020.10	275.0
AMY1B	ENSG00000174876.12	277.0
AMY1C	ENSG00000187733.6	278.0
AMY2A	ENSG00000243480.3	279.0
AMYP1	ENSG00000227408.1	281.0
AMZ1	ENSG00000174945.9	155185.0
AMZ2P2	ENSG00000219249.2	100421018.0
ANAPC1	ENSG00000153107.7	64682.0
ANAPC10P1	ENSG00000213735.2	729198.0
ANAPC13	ENSG00000129055.8	25847.0
ANAPC15	ENSG00000110200.4	25906.0
ANAPC16	ENSG00000166295.4	119504.0
ANAPC1P1	ENSG00000233673.2	100286979.0
ANAPC4	ENSG00000053900.6	29945.0
ANAPC5	ENSG00000089053.8	51433.0
ANG	ENSG00000214274.5	283.0
ANGEL2	ENSG00000174606.8	90806.0
ANGPT1	ENSG00000154188.5	284.0
ANGPT2	ENSG00000091879.9	285.0
ANGPTL3	ENSG00000132855.4	27329.0
ANGPTL5	ENSG00000187151.3	253935.0
ANGPTL7	ENSG00000171819.4	10218.0
ANHX	ENSG00000227059.2	647589.0
ANK2	ENSG00000145362.12	287.0
ANK3	ENSG00000151150.16	288.0
ANKAR	ENSG00000151687.10	150709.0
ANKDD1B	ENSG00000189045.9	728780.0
ANKHD1	ENSG00000131503.16	54882.0
ANKIB1	ENSG00000001629.5	54467.0
ANKK1	ENSG00000170209.4	255239.0
ANKLE2	ENSG00000176915.10	23141.0
ANKMY2	ENSG00000106524.4	57037.0
ANKRA2	ENSG00000164331.5	57763.0
ANKRD10	ENSG00000088448.10	55608.0
ANKRD13A	ENSG00000076513.12	88455.0
ANKRD13C	ENSG00000118454.8	81573.0
ANKRD17	ENSG00000132466.13	26057.0
ANKRD18A	ENSG00000180071.14	253650.0
ANKRD18B	ENSG00000230453.5	441459.0
ANKRD18DP	ENSG00000226435.6	348840.0
ANKRD18EP	ENSG00000217165.1	100131031.0
ANKRD2	ENSG00000165887.7	26287.0
ANKRD20A10P	ENSG00000226695.1	100421422.0
ANKRD20A12P	ENSG00000242676.3	100874392.0
ANKRD20A14P	ENSG00000232745.2	100533719.0
ANKRD20A19P	ENSG00000196593.5	400110.0
ANKRD20A2	ENSG00000183148.5	441430.0
ANKRD20A3	ENSG00000132498.7	441425.0
ANKRD20A7P	ENSG00000236816.2	653436.0
ANKRD20A8P	ENSG00000229089.2	729171.0
ANKRD20A9P	ENSG00000206192.7	284232.0
ANKRD22	ENSG00000152766.5	118932.0
ANKRD26	ENSG00000107890.12	22852.0
ANKRD26P2	ENSG00000235550.1	646929.0
ANKRD26P3	ENSG00000237636.2	100101938.0
ANKRD30A	ENSG00000148513.13	91074.0
ANKRD30BP3	ENSG00000230501.1	338579.0
ANKRD31	ENSG00000145700.5	256006.0
ANKRD33	ENSG00000167612.8	341405.0
ANKRD33B	ENSG00000164236.7	651746.0
ANKRD33B-AS1	ENSG00000250106.1	100874247.0
ANKRD34B	ENSG00000189127.3	340120.0
ANKRD35	ENSG00000198483.8	148741.0
ANKRD36	ENSG00000135976.12	375248.0
ANKRD36BP2	ENSG00000230006.3	645784.0
ANKRD36C	ENSG00000174501.10	400986.0
ANKRD37	ENSG00000186352.4	353322.0
ANKRD39	ENSG00000213337.4	51239.0
ANKRD42	ENSG00000137494.9	338699.0
ANKRD44	ENSG00000065413.12	91526.0
ANKRD44-IT1	ENSG00000236977.1	101927547.0
ANKRD45	ENSG00000183831.6	339416.0
ANKRD46	ENSG00000186106.7	157567.0
ANKRD49	ENSG00000168876.4	54851.0
ANKRD50	ENSG00000151458.7	57182.0
ANKRD52	ENSG00000139645.9	283373.0
ANKRD53	ENSG00000144031.7	79998.0
ANKRD54P1	ENSG00000236442.1	100419962.0
ANKRD6	ENSG00000135299.12	22881.0
ANKRD61	ENSG00000157999.5	100310846.0
ANKRD65	ENSG00000235098.4	441869.0
ANKRD66	ENSG00000230062.4	100287718.0
ANKRD7	ENSG00000106013.8	56311.0
ANKS1A	ENSG00000064999.12	23294.0
ANKS1B	ENSG00000185046.14	56899.0
ANKZF1	ENSG00000163516.9	55139.0
ANO1-AS2	ENSG00000254417.1	100009613.0
ANO10	ENSG00000160746.8	55129.0
ANO2	ENSG00000047617.10	57101.0
ANO4	ENSG00000151572.12	121601.0
ANO5	ENSG00000171714.10	203859.0
ANO6	ENSG00000177119.11	196527.0
ANO7	ENSG00000146205.9	50636.0
ANP32D	ENSG00000139223.1	23519.0
ANTXR1	ENSG00000169604.15	84168.0
ANXA10	ENSG00000109511.6	11199.0
ANXA11	ENSG00000122359.13	311.0
ANXA13	ENSG00000104537.12	312.0
ANXA2P1	ENSG00000213406.3	303.0
ANXA2P2	ENSG00000231991.3	304.0
ANXA2R	ENSG00000177721.3	389289.0
ANXA3	ENSG00000138772.8	306.0
ANXA4	ENSG00000196975.10	307.0
ANXA5	ENSG00000164111.10	308.0
ANXA6	ENSG00000197043.9	309.0
ANXA8	ENSG00000165390.11	653145.0
ANXA8L1	ENSG00000150165.13	728113.0
ANXA9	ENSG00000143412.5	8416.0
AOX1	ENSG00000138356.9	316.0
AOX2P	ENSG00000243478.3	344454.0
AOX3P	ENSG00000244301.1	107126360.0
AP1S1	ENSG00000106367.9	1174.0
AP2A2	ENSG00000183020.9	161.0
AP3M1	ENSG00000185009.8	26985.0
AP3M2	ENSG00000070718.7	10947.0
AP3S1	ENSG00000177879.10	1176.0
AP4B1	ENSG00000134262.8	10717.0
AP4B1-AS1	ENSG00000226167.1	100287722.0
AP5B1	ENSG00000254470.2	91056.0
AP5M1	ENSG00000053770.7	55745.0
AP5Z1	ENSG00000242802.2	9907.0
APAF1	ENSG00000120868.9	317.0
APBB1	ENSG00000166313.14	322.0
APBB1IP	ENSG00000077420.11	54518.0
APBB2	ENSG00000163697.12	323.0
APBB3	ENSG00000113108.13	10307.0
APCS	ENSG00000132703.3	325.0
APEH	ENSG00000164062.8	327.0
APEX1	ENSG00000100823.7	328.0
APH1A	ENSG00000117362.8	51107.0
API5	ENSG00000166181.8	8539.0
API5P2	ENSG00000213962.2	728664.0
APIP	ENSG00000149089.8	51074.0
APLF	ENSG00000169621.5	200558.0
APLNR	ENSG00000134817.9	187.0
APOA1	ENSG00000118137.5	335.0
APOA2	ENSG00000158874.7	336.0
APOA4	ENSG00000110244.5	337.0
APOA5	ENSG00000110243.7	116519.0
APOB	ENSG00000084674.9	338.0
APOBEC1	ENSG00000111701.6	339.0
APOBEC2	ENSG00000124701.5	10930.0
APOBEC3AP1	ENSG00000248822.1	105377532.0
APOBEC4	ENSG00000173627.6	403314.0
APOC3	ENSG00000110245.7	345.0
APOD	ENSG00000189058.4	347.0
APOF	ENSG00000175336.8	319.0
APOLD1	ENSG00000178878.8	81575.0
APOM	ENSG00000204444.6	55937.0
APOOP1	ENSG00000270560.1	100286948.0
APOOP2	ENSG00000240902.1	100129005.0
APOOP3	ENSG00000255700.2	100131528.0
APOOP4	ENSG00000248122.1	100128725.0
APPL1	ENSG00000157500.6	26060.0
APPL2	ENSG00000136044.7	55198.0
AQP10	ENSG00000143595.8	89872.0
AQP11	ENSG00000178301.3	282679.0
AQP12A	ENSG00000184945.9	375318.0
AQP12B	ENSG00000185176.8	653437.0
AQP2	ENSG00000167580.3	359.0
AQP3	ENSG00000165272.10	360.0
ARAP1	ENSG00000186635.10	116985.0
ARAP1-AS1	ENSG00000256007.1	100874075.0
ARAP1-AS2	ENSG00000245148.2	100506020.0
ARAP2	ENSG00000047365.7	116984.0
ARAP3	ENSG00000120318.11	64411.0
ARC	ENSG00000198576.2	23237.0
AREG	ENSG00000109321.6	374.0
ARF1P2	ENSG00000213137.3	100420012.0
ARF1P3	ENSG00000253885.1	442396.0
ARF3	ENSG00000134287.5	377.0
ARF4	ENSG00000168374.6	378.0
ARF4P3	ENSG00000214051.3	390423.0
ARF5	ENSG00000004059.6	381.0
ARF6	ENSG00000165527.5	382.0
ARFGEF1	ENSG00000066777.4	10565.0
ARFIP1	ENSG00000164144.10	27236.0
ARFIP2	ENSG00000132254.8	23647.0
ARG1	ENSG00000118520.9	383.0
ARGFX	ENSG00000186103.3	503582.0
ARHGAP1	ENSG00000175220.7	392.0
ARHGAP12	ENSG00000165322.13	94134.0
ARHGAP18	ENSG00000146376.6	93663.0
ARHGAP19	ENSG00000213390.6	84986.0
ARHGAP20	ENSG00000137727.8	57569.0
ARHGAP21	ENSG00000107863.12	57584.0
ARHGAP22	ENSG00000128805.10	58504.0
ARHGAP22-IT1	ENSG00000248682.1	100689073.0
ARHGAP25	ENSG00000163219.7	9938.0
ARHGAP26	ENSG00000145819.11	23092.0
ARHGAP29	ENSG00000137962.8	9411.0
ARHGAP42	ENSG00000165895.13	143872.0
ARHGAP5-AS1	ENSG00000258655.1	84837.0
ARHGAP9	ENSG00000123329.13	64333.0
ARHGEF10	ENSG00000104728.11	9639.0
ARHGEF10L	ENSG00000074964.12	55160.0
ARHGEF11	ENSG00000132694.14	9826.0
ARHGEF12	ENSG00000196914.4	23365.0
ARHGEF16	ENSG00000130762.10	27237.0
ARHGEF17	ENSG00000110237.3	9828.0
ARHGEF19	ENSG00000142632.12	128272.0
ARHGEF2	ENSG00000116584.13	9181.0
ARHGEF25	ENSG00000240771.2	115557.0
ARHGEF26	ENSG00000114790.8	26084.0
ARHGEF3-AS1	ENSG00000240198.1	100874200.0
ARHGEF33	ENSG00000214694.6	100271715.0
ARHGEF34P	ENSG00000204959.3	728377.0
ARHGEF38	ENSG00000236699.4	54848.0
ARHGEF38-IT1	ENSG00000249885.1	100874374.0
