GeneSym	UniprotACC	GeneID
WASH3P	C4AMC7	374666
MCIDAS	D6RGH6	345643
KIF2A	O00139	3796
SGK1	O00141	6446
FZD9	O00144	8326
DDX39A	O00148	10212
ACOT7	O00154	11332
MYO1C	O00159	4641
SNAP23	O00161	8773
HAX1	O00165	10456
FXYD1	O00168	5348
CCL24	O00175	6369
KCNK1	O00180	3775
LGALS9	O00182	3965
TLR4	O00206	7099
RHOD	O00212	29984
APBB1	O00213	322
HAS3	O00219	3038
TNFRSF10A	O00220	8797
CORT	O00230	1325
PSMD11	O00231	5717
PSMD12	O00232	5718
PSMD9	O00233	5715
BMPR1B	O00238	658
SUPT5H	O00267	6829
TAF4	O00268	6874
HIP1	O00291	3092
LEFTY2	O00292	7044
TULP1	O00294	7287
TNFRSF11B	O00300	4982
CACNB4	O00305	785
WWP2	O00308	11060
CDC7	O00311	8317
ARNTL	O00327	406
PIK3CD	O00329	5293
FOXE1	O00358	2304
QSOX1	O00391	5768
WASL	O00401	8976
PDE2A	O00408	5138
IPO5	O00410	3843
DNM1L	O00429	10059
PIK3C2A	O00443	5286
PLK4	O00444	10733
SYT5	O00445	6861
PIK3R2	O00459	5296
AGRN	O00468	375790
PLOD2	O00469	5352
SLC17A3	O00476	10786
NR5A2	O00482	2494
PSMD14	O00487	10213
BIN1	O00499	274
CLDN5	O00501	7122
STK25	O00506	10494
USP9Y	O00507	8287
KRIT1	O00522	889
PES1	O00541	23481
DLL1	O00548	28514
CACNA1A	O00555	773
SDCBP	O00560	6386
PITPNM1	O00562	9600
MPHOSPH10	O00566	10199
DDX3X	O00571	1654
CCL21	O00585	6366
PODXL	O00592	5420
FCN1	O00602	2219
CYR61	O00622	3491
PEX12	O00623	5193
CCL22	O00626	6367
SLN	O00631	6588
TRIM38	O00635	10475
NFIB	O00712	4781
WNT10B	O00744	7480
MAN2B1	O00754	4125
WNT7A	O00755	7476
FBP2	O00757	8789
UBE2C	O00762	11065
ACACB	O00763	32
PLPP1	O14494	8611
PLPP3	O14495	8613
ARID1A	O14497	8289
BHLHE40	O14503	8553
SOCS2	O14508	8835
NRG2	O14511	9542
CUX2	O14529	23316
SOCS3	O14543	9021
SOCS6	O14544	9306
NDUFAB1	O14561	4706
CIT	O14578	11113
NCAN	O14594	1463
CDC42EP2	O14613	10435
AP3D1	O14617	8943
CXCL11	O14625	6373
DVL1	O14640	1855
DVL2	O14641	1856
GOSR2	O14653	9570
TOR1A	O14656	1861
STX16	O14662	8675
ADAM10	O14672	102
ENC1	O14682	8507
KMT2D	O14686	8085
ITGB1BP1	O14713	9270
APAF1	O14727	317
RIOK3	O14730	8780
IMPA2	O14732	3613
MAP2K7	O14733	5609
ACOT8	O14734	10005
PDCD5	O14737	9141
PRMT5	O14744	10419
SLC9A3R1	O14745	9368
CHEK1	O14757	1111
TNFRSF10B	O14763	8795
TPP1	O14773	1200
NDC80	O14777	10403
NRP1	O14786	8829
APOL1	O14791	8542
MSTN	O14793	2660
UNC13B	O14795	10497
TNFRSF10C	O14798	8794
POLR3A	O14802	11128
CPLX1	O14810	10815
PSMA7	O14818	5688
PPEF2	O14830	5470
TNFRSF13B	O14836	23495
FFAR3	O14843	2865
AIM2	O14862	9447
BACH1	O14867	571
IFIT3	O14879	3437
GEMIN2	O14893	8487
IRF6	O14896	3664
KLF11	O14901	8462
WNT9A	O14904	7483
WNT9B	O14905	7484
GIPC1	O14908	10755
IKBKB	O14920	3551
FSCN2	O14926	25794
HAT1	O14929	8520
NCR3	O14931	259197
CASK	O14936	8573
PLD2	O14939	5338
EREG	O14944	2069
CASQ2	O14958	845
HGS	O14964	9146
AURKA	O14965	6790
RAB29	O14966	8934
PPP1R12A	O14974	4659
SLC27A2	O14975	11001
GAK	O14976	2580
XPO1	O14980	7514
ATP2A1	O14983	487
ARHGEF10	O15013	9639
SPTBN2	O15020	6712
PLXNB2	O15031	23654
SEMA3E	O15041	9723
PER2	O15055	8864
KIF3B	O15066	9371
ADAMTS3	O15072	9508
DCLK1	O15075	9201
CEP290	O15078	80184
ARHGEF11	O15085	9826
SMAD7	O15105	4092
CHUK	O15111	1147
LSM1	O15116	27257
FYB1	O15117	2533
NPC1	O15118	4864
TBX3	O15119	6926
AGPAT2	O15120	10555
ANGPT2	O15123	285
ARPC2	O15144	10109
ARPC3	O15145	10094
MUSK	O15146	4593
MDM4	O15151	4194
POLR1C	O15160	9533
PLSCR1	O15162	5359
TRIM24	O15164	8805
LDLRAD4	O15165	753
AXIN1	O15169	8312
T	O15178	6862
UBD	O15205	10537
KMO	O15229	8564
LAMA5	O15230	3911
CASC3	O15234	22794
VGF	O15240	7425
LEPROT	O15243	54741
SLC22A2	O15244	6582
SLC22A1	O15245	6580
CLIC2	O15247	1193
NPHP1	O15259	4867
SURF4	O15260	6836
DEFB4A	O15263	1673
MAPK13	O15264	5603
ATXN7	O15265	6314
TCAP	O15273	8557
OGT	O15294	8473
ALOX15B	O15296	247
GRM6	O15303	2916
PMM2	O15305	5373
RAD51B	O15315	5890
CTAGE5	O15320	4253
ATP6V0E1	O15342	8992
TP73	O15350	7161
FOXN1	O15353	8456
INPPL1	O15357	3636
EIF3D	O15371	8664
HDAC3	O15379	8841
BIRC5	O15392	332
STX7	O15400	8417
CCL25	O15444	6370
CD3EAP	O15446	10849
TLR3	O15455	7098
CCL16	O15467	6360
PLA2G10	O15496	8399
YKT6	O15498	10652
NUPL2	O15504	11097
ARPC5	O15511	10092
POLR2D	O15514	5433
CLOCK	O15516	9575
CFLAR	O15519	8837
FGF10	O15520	2255
OGG1	O15527	4968
CYP27B1	O15528	1594
PDPK1	O15530	5170
TAPBP	O15533	6892
PER1	O15534	5187
CLDN3	O15551	1365
FFAR2	O15552	2867
MEFV	O15553	4210
SGSM2	O43147	9905
TET3	O43151	200424
FLRT2	O43155	23768
PLXNB1	O43157	5364
RRP8	O43159	23378
SIPA1L1	O43166	26037
ST8SIA3	O43173	51046
CYP26A1	O43174	1592
NDUFS4	O43181	4724
ARHGAP6	O43182	395
IRAK2	O43187	3656
SEPT4	O43236	5414
PSMD3	O43242	5709
RBFOX2	O43251	23543
SIAH2	O43255	6478
ZW10	O43264	9183
PRODH	O43272	5625
MAP3K13	O43283	9175
SART1	O43290	9092
DAPK3	O43293	1613
TGFB1I1	O43294	7041
CCP110	O43303	9738
ADCY6	O43306	112
MTSS1	O43312	9788
AQP9	O43315	366
MAP3K7	O43318	6885
FGF16	O43320	8823
EEF1E1	O43324	9521
RIPK2	O43353	8767
WDR62	O43379	284403
PRPF3	O43395	9129
GRID2	O43424	2895
SYNJ1	O43426	8867
TBX1	O43435	6899
MBTPS2	O43462	51360
SUV39H1	O43463	6839
HTRA2	O43464	27429
KLF4	O43474	9314
AKR7A2	O43488	8574
PROM1	O43490	8842
CACNA1G	O43497	8913
RAD51C	O43502	5889
LAMTOR5	O43504	10542
TNFSF12	O43508	8742
SLC26A4	O43511	5172
ATP8B1	O43520	5205
BCL2L11	O43521	10018
FOXO3	O43524	2309
SMAD6	O43541	4091
XRCC3	O43542	7517
XRCC2	O43543	7516
TNFSF14	O43557	8740
RGS14	O43566	10636
SYT7	O43581	9066
SPRY2	O43597	10253
GALR2	O43603	8811
HCRTR1	O43613	3061
HCRTR2	O43614	3062
SNAI2	O43623	6591
CHMP2A	O43633	27243
NCK2	O43639	8440
ZNF207	O43670	7756
TCF21	O43680	6943
BUB1	O43683	699
BUB3	O43684	9184
SULT1B1	O43704	27284
ACTN4	O43707	81
TRIAP1	O43715	51499
PRKAB2	O43741	5565
CHP2	O43745	63928
AP1G1	O43747	164
STX6	O43752	10228
ENSA	O43768	2029
DYRK3	O43781	8444
SLC25A17	O43808	10478
NUDT21	O43809	11051
HYAL3	O43820	8372
AKAP8	O43823	10270
NRDC	O43847	4898
AHCYL1	O43865	10768
CREB3	O43889	10488
TYROBP	O43914	7305
VEGFD	O43915	2277
CHST1	O43916	8534
AIRE	O43918	326
CXCL13	O43927	10563
RAD21	O60216	5885
AKR1B10	O60218	57016
KALRN	O60229	8997
BNIP3L	O60238	665
MED14	O60244	9282
SOX15	O60248	6665
FGF17	O60258	8822
KLK8	O60259	11202
PRKN	O60260	5071
SMARCA5	O60264	8467
ADCY3	O60266	109
SPAG9	O60271	9043
KIF5C	O60282	3800
NUAK1	O60285	9891
OPA1	O60313	4976
ZEB2	O60315	9839
PIP5K1C	O60331	23396
KIF1B	O60333	23095
MARCH6	O60337	10299
KDM1A	O60341	23028
TBC1D4	O60343	9882
ECE2	O60344	9718
PHLPP1	O60346	23239
FZD6	O60353	8323
CACNG3	O60359	10368
GDF9	O60383	2661
FADS1	O60427	3992
EVI5	O60447	7813
NRP2	O60462	8828
DSCAM	O60469	1826
BRINP1	O60477	1620
ZIC3	O60481	7547
SNX3	O60493	8724
CUBN	O60494	8029
STX10	O60499	8677
ADCY9	O60503	115
SYNCRIP	O60506	10492
CDC40	O60508	51362
CREBL2	O60519	1389
CIDEA	O60543	1149
CCNT1	O60563	904
GREM1	O60565	26585
BUB1B	O60566	701
CCNT2	O60583	905
TLR5	O60602	7100
TLR2	O60603	7097
GFRA3	O60609	2676
DIAPH1	O60610	1729
UGT1A9	O60656	54600
PDE8A	O60658	5151
KLHL41	O60662	10324
LMX1B	O60663	4010
RAD1	O60671	5810
JAK2	O60674	3717
SRPX2	O60687	27286
ABCC9	O60706	10060
SLC24A1	O60721	9187
CDC14B	O60729	8555
PLA2G6	O60733	8398
HCN1	O60741	348980
SNX2	O60749	6643
GALR3	O60755	8484
DPM1	O60762	8813
USO1	O60763	8615
HIST1H2BK	O60814	85236
CCDC22	O60826	28952
DKC1	O60832	1736
TRIM13	O60858	10206
EDF1	O60869	8721
BRD4	O60885	23476
RAMP1	O60894	10267
RAMP2	O60895	10266
RAMP3	O60896	10268
TBL1X	O60907	6907
HUS1	O60921	3364
CTNS	O60931	1497
NBN	O60934	4683
NOL3	O60936	8996
SCN2B	O60939	6327
MITF	O75030	4286
SRGAP2	O75044	23380
NOS1AP	O75052	9722
SDC3	O75056	9672
FKTN	O75072	2218
CBFA2T3	O75081	863
WDR1	O75083	9948
FZD7	O75084	8324
SLIT1	O75093	6585
SLIT3	O75094	6586
LRP4	O75096	4038
ROCK2	O75116	9475
CLASP2	O75122	23122
COBL	O75128	23242
CPNE3	O75131	8895
ICOSLG	O75144	23308
HIP1R	O75146	9026
OBSL1	O75147	23363
RNF40	O75150	9810
ZC3H11A	O75152	9877
NPHP4	O75161	261734
KDM4A	O75164	9682
DNAJC13	O75165	23317
CNOT3	O75175	4849
ANKRD17	O75179	26057
DNAJB6	O75190	10049
XYLB	O75191	9942
PEX11A	O75192	8800
LRP5	O75197	4041
GADD45B	O75293	4616
GLRA3	O75311	8001
ZPR1	O75312	8882
SEMA7A	O75326	8482
PDCD6	O75340	10016
ALOX12B	O75342	242
FKBP6	O75344	8468
ATP6V1G1	O75348	9550
VPS4B	O75351	9525
ENTPD5	O75356	957
ZNF217	O75362	7764
PITX3	O75364	5309
H2AFY	O75367	9555
NCOR1	O75376	9611
VAMP4	O75379	8674
PEX14	O75381	5195
ULK1	O75385	8408
TULP3	O75386	7289
GPR32	O75388	2854
SEC22B	O75396	9554
DEAF1	O75398	10522
PRPF40A	O75400	55660
POLQ	O75417	10721
CDC45	O75419	8318
VPS26A	O75436	9559
USH2A	O75445	7399
ERN1	O75460	2081
NR1I2	O75469	8856
ERLIN1	O75477	10613
TADA2A	O75478	6871
SUPT3H	O75486	8464
NDUFS3	O75489	4722
SRSF10	O75494	10772
GMNN	O75496	51053
CLN5	O75503	1203
TNFRSF21	O75509	27242
TADA3	O75528	10474
BANF1	O75531	8815
PRKRA	O75569	8575
LRP6	O75581	4040
RPS6KA5	O75582	9252
FOXH1	O75593	8928
PGLYRP1	O75594	8993
GCM2	O75603	9247
USP2	O75604	9099
LEFTY1	O75610	10637
FCN3	O75636	8547
OFD1	O75665	8481
TOM1L1	O75674	10040
RPS6KA4	O75676	8986
PPM1B	O75688	5495
UTP20	O75691	27340
NUP155	O75694	9631
SLC25A12	O75746	8604
RAD51D	O75771	5892
ATP6AP2	O75787	10159
GRAP2	O75791	9402
CDC123	O75794	8872
PPP1R15A	O75807	23645
PSMD10	O75832	5716
STAM2	O75886	10254
TNFSF13	O75888	8741
DGAT1	O75907	8694
SOAT2	O75908	8435
CCNK	O75909	8812
PAK3	O75914	5063
ARL6IP5	O75915	10550
PIAS1	O75925	8554
DCTN3	O75935	11258
RAD17	O75943	5884
FLOT1	O75955	10211
RSL1D1	O76021	26156
WFS1	O76024	7466
NCR1	O76036	9437
CDKL5	O76039	6792
NEURL1	O76050	9148
RNF8	O76064	9025
SLC22A5	O76082	6584
FGF18	O76093	8817
TRPM2	O94759	7226
DDAH1	O94760	23576
RECQL4	O94761	9401
RECQL5	O94762	9400
URI1	O94763	8725
B3GAT3	O94766	26229
DPM2	O94777	8818
USP1	O94782	7398
ALDH1A2	O94788	8854
SLIT2	O94813	9353
ATG12	O94817	9140
MICAL2	O94851	9645
UFL1	O94874	23376
SASH1	O94885	23328
FARP2	O94887	9855
ERLIN2	O94905	11160
PRPF6	O94906	24148
DKK1	O94907	22943
PCF11	O94913	51585
GLS	O94925	2744
USP19	O94966	10869
TRIM37	O94972	4591
AP2A2	O94973	161
SEC31A	O94979	22872
CEP152	O94986	22995
UBR5	O95071	51366
REC8	O95072	9985
S1PR2	O95136	9294
MFN2	O95140	9927
TNFSF15	O95150	9966
UBE4B	O95155	10277
ELP1	O95163	8518
GABARAP	O95166	11337
CACNA1H	O95180	8912
CSPG5	O95196	10675
SNX4	O95219	8723
KIF20A	O95235	10112
KIF4A	O95239	24137
GOSR1	O95249	9527
KAT7	O95251	11143
GADD45G	O95257	10912
KCNH1	O95259	3756
RASGRP1	O95267	10125
TNKS	O95271	8658
VAPB	O95292	9217
SNAPIN	O95295	23557
SIX3	O95343	6496
ATG7	O95352	10533
TRIM16	O95361	10626
ARIH2	O95376	10425
GDF11	O95390	10220
SLU7	O95391	10569
BMP10	O95393	27302
PGM3	O95394	5238
MOCS3	O95396	27304
RAPGEF3	O95398	10411
TNFRSF6B	O95407	8771
ZIC2	O95409	7546
BAG4	O95429	9530
APOM	O95445	55937
PARN	O95453	5073
LARGE1	O95461	9215
SGPL1	O95470	8879
CTDNEP1	O95476	23399
ABCA1	O95477	19
SEC24B	O95487	10427
VNN1	O95497	8876
ACSL3	O95573	2181
POLR1A	O95602	25885
PCNT	O95613	5116
YEATS4	O95619	8089
ADCY5	O95622	111
STAMBP	O95630	10617
NTN1	O95631	9423
FSTL3	O95633	10272
CPSF4	O95639	10898
NFATC1	O95644	4772
ATP6V1G2	O95670	534
EYA4	O95677	2070
FGFR1OP	O95684	11116
ESRRB	O95718	2103
SNAP29	O95721	9342
CRTAM	O95727	56253
CPNE6	O95741	9362
FGF19	O95750	9965
TBC1D8	O95759	11138
IL33	O95760	90865
AP2A1	O95782	160
DDX58	O95786	23586
CER1	O95813	9350
BAG3	O95817	9531
MAP4K4	O95819	9448
MLYCD	O95822	23417
AIFM1	O95831	9131
CLDN1	O95832	9076
LATS1	O95835	9113
SNAI1	O95863	6615
DDAH2	O95865	23564
MPIG6B	O95866	80739
EPPIN	O95925	57119
EOMES	O95936	8320
LGI1	O95970	9211
BMP15	O95972	9210
NUDT3	O95989	11165
AGR2	O95994	10551
GAS8	O95995	2622
PTTG1	O95997	9232
BCL10	O95999	8915
HAND1	O96004	9421
NAPSA	O96009	9476
PEX11B	O96011	8799
PAK4	O96013	10298
WNT11	O96014	7481
CHEK2	O96017	11200
ACTL6A	O96019	86
ALDH1A1	P00352	216
GLUD1	P00367	2746
DHFR	P00374	1719
SOD1	P00441	6647
F8	P00451	2157
PNP	P00491	4860
HPRT1	P00492	3251
GOT2	P00505	2806
ABL1	P00519	25
EGFR	P00533	1956
MOS	P00540	4342
PGK1	P00558	5230
LALBA	P00709	3906
F2	P00734	2147
HP	P00738	3240
F9	P00740	2158
F10	P00742	2159
PLG	P00747	5340
F12	P00748	2161
PLAU	P00749	5328
PLAT	P00750	5327
REN	P00797	5972
ADA	P00813	100
CA2	P00918	760
ASS1	P00966	445
OAS1	P00973	4938
SERPINA1	P01009	5265
SERPINA3	P01011	12
AGT	P01019	183
A2M	P01023	2
C3	P01024	718
C5	P01031	727
TIMP1	P01033	7076
CST3	P01034	1471
CSTA	P01040	1475
KNG1	P01042	3827
FOS	P01100	2353
MYC	P01106	4609
NRAS	P01111	4893
HRAS	P01112	3265
KRAS	P01116	3845
PDGFB	P01127	5155
LDLR	P01130	3949
EGF	P01133	1950
TGFA	P01135	7039
TGFB1	P01137	7040
NGF	P01138	4803
NPPA	P01160	4878
AVP	P01185	551
POMC	P01189	5443
PENK	P01210	5179
CGA	P01215	1081
FSHB	P01225	2488
LHB	P01229	3972
PRL	P01236	5617
GH1	P01241	2688
PTH	P01270	5741
VIP	P01282	7432
GHRH	P01286	2691
PPY	P01298	5539
NPY	P01303	4852
INS	P01308	3630
IGF2	P01344	3481
TNF	P01375	7124
IFNA1	P01562	3439
IFNA2	P01563	3440
IFNA10	P01566	3446
IFNA7	P01567	3444
IFNA21	P01568	3452
IFNA5	P01569	3442
IFNA14	P01570	3448
IFNA17	P01571	3451
IFNB1	P01574	3456
IFNG	P01579	3458
IL1A	P01583	3552
IL1B	P01584	3553
EPO	P01588	2056
IL2RA	P01589	3559
JCHAIN	P01591	3512
IGKV1D-33	P01593	28896
IGKV1-33	P01594	28933
IGKV1-39	P01597	28930
IGKV1-17	P01599	28937
IGKV1D-16	P01601	28901
IGKV1-5	P01602	28299
IGKV1D-12	P01611	28903
IGKV2D-40	P01614	28878
IGKV2D-28	P01615	28883
IGKV3-20	P01619	28912
IGKV3-15	P01624	28913
IGLV1-44	P01699	28823
IGLV1-47	P01700	28822
IGLV1-51	P01701	28820
IGLV1-40	P01703	28825
IGLV2-14	P01704	28815
IGLV2-23	P01705	28813
IGLV2-11	P01706	28816
IGLV2-8	P01709	28817
IGLV3-19	P01714	28797
IGLV3-1	P01715	28809
IGLV3-25	P01717	28793
IGLV3-27	P01718	28791
IGLV6-57	P01721	28778
CD4	P01730	920
CD8A	P01732	925
IGHV1-69	P01742	28461
IGHV1-46	P01743	28465
IGHV3-11	P01762	28450
IGHV3-48	P01763	28424
IGHV3-23	P01764	28442
IGHV3-13	P01766	28449
IGHV3-53	P01767	28420
IGHV3-30	P01768	28439
IGHV3-33	P01772	28434
IGHV3-7	P01780	28452
IGHV3-9	P01782	28451
IGHV2-70	P01814	28454
IGHV2-5	P01817	28457
IGHV4-39	P01824	28394
IGHV4-59	P01825	28392
PIGR	P01833	5284
IGKC	P01834	3514
TRBC1	P01850	28639
IGHE	P01854	3497
IGHG1	P01857	3500
IGHG2	P01859	3501
IGHG3	P01860	3502
IGHG4	P01861	3503
IGHM	P01871	3507
IGHA1	P01876	3493
IGHA2	P01877	3494
IGHD	P01880	3495
HLA-H	P01893	3136
HLA-DRA	P01903	3122
HLA-DQB1	P01920	3119
COL1A1	P02452	1277
COL2A1	P02458	1280
COL3A1	P02461	1281
COL4A1	P02462	1282
CRYAA	P02489	1409
CRYAB	P02511	1410
KRT14	P02533	3861
KRT6A	P02538	3853
LMNA	P02545	4000
APOA1	P02647	335
APOE	P02649	348
APOA2	P02652	336
APOC1	P02654	341
APOC2	P02655	344
APOC3	P02656	345
FGA	P02671	2243
FGB	P02675	2244
FGG	P02679	2266
MBP	P02686	4155
CHRNA1	P02708	1134
SLC4A1	P02730	6521
CRP	P02741	1401
APCS	P02743	325
C1QC	P02747	714
APOH	P02749	350
FN1	P02751	2335
RBP4	P02753	5950
AMBP	P02760	259
ORM1	P02763	5004
AHSG	P02765	197
TTR	P02766	7276
ALB	P02768	213
PPBP	P02775	5473
PF4	P02776	5196
CXCL10	P02778	3627
TFRC	P02786	7037
TF	P02787	7018
LTF	P02788	4057
FTH1	P02794	2495
MT2A	P02795	4502
BGLAP	P02818	632
ESR1	P03372	2099
ANG	P03950	283
KLKB1	P03952	3818
MMP1	P03956	4312
AMH	P03971	268
SLPI	P03973	6590
VTN	P04004	7448
HMGCR	P04035	3156
CAT	P04040	847
RAF1	P04049	5894
PLA2G1B	P04054	5319
GBA	P04062	2629
PROC	P04070	5624
ALDOA	P04075	226
ANXA1	P04083	301
PDGFA	P04085	5154
RLN2	P04090	6019
APOB	P04114	338
CSF2	P04141	1437
NR3C1	P04150	2908
SOD2	P04179	6648
LCAT	P04180	3931
TK1	P04183	7083
HRG	P04196	3273
MYCN	P04198	4613
IGLV7-43	P04211	28776
THY1	P04216	7070
CD74	P04233	972
CD3D	P04234	915
KRT1	P04264	3848
S100B	P04271	6285
VWF	P04275	7450
SEMG1	P04279	6406
GAPDH	P04406	2597
IGKV1-16	P04430	28938
IGKV1D-39	P04432	28893
IGKV3-11	P04433	28914
HLA-DPB1	P04440	3115
PRM2	P04554	5620
ERBB2	P04626	2064
WNT1	P04628	7471
NTRK1	P04629	4914
TP53	P04637	7157
HSPB1	P04792	3315
CYP1A1	P04798	1543
TYMS	P04818	7298
CYBB	P04839	1536
GNAI2	P04899	2771
IFNW1	P05000	3467
IFNA6	P05013	3443
IFNA4	P05014	3441
IFNA16	P05015	3449
IGF1	P05019	3479
ATP1A1	P05023	476
ATP1B1	P05026	481
ALDOB	P05062	229
APP	P05067	351
APOD	P05090	347
CYP17A1	P05093	1586
ITGB3	P05106	3690
ITGB2	P05107	3689
S100A8	P05109	6279
INHA	P05111	3623
IL4	P05112	3565
SERPINE1	P05121	5054
PRKCG	P05129	5582
SERPING1	P05155	710
ISG15	P05161	9636
MPO	P05164	4353
CYP1A2	P05177	1544
CYP2E1	P05181	1571
EIF2S1	P05198	1965
FGF1	P05230	2246
IL6	P05231	3569
EDN1	P05305	1906
ICAM1	P05362	3383
RPLP1	P05386	6176
RPLP2	P05387	6181
RPLP0	P05388	6175
JUN	P05412	3725
FABP3	P05413	2170
CLEC3B	P05452	7123
SSB	P05455	6741
TFAP2A	P05549	7020
ITGB1	P05556	3688
PRKCB	P05771	5579
KRT18	P05783	3875
HPN	P05981	3249
COL5A2	P05997	1290
INSR	P06213	3643
LCK	P06239	3932
FYN	P06241	2534
GLA	P06280	2717
IGKV2-30	P06310	28919
IGKV4-1	P06312	28908
IGKV5-2	P06315	28907
IGHV4-34	P06331	28395
GSN	P06396	2934
RB1	P06400	5925
PGR	P06401	5241
CDK1	P06493	983
ATP5B	P06576	506
S100A9	P06702	6280
APOA4	P06727	337
CD2	P06729	914
EIF4E	P06730	1977
CEACAM5	P06731	1048
ENO1	P06733	2023
GPI	P06744	2821
POLB	P06746	5423
NPM1	P06748	4869
ITGAV	P06756	3685
CRH	P06850	1392
LPL	P06858	4023
HEXA	P06865	3073
HIST1H2BJ	P06899	8970
SERPINE2	P07093	5270
TH	P07101	7054
FABP1	P07148	2168
NEFL	P07196	4747
GPX1	P07203	2876
THBD	P07204	7056
PROS1	P07225	5627
P4HB	P07237	5034
FES	P07332	2242
CSF1R	P07333	1436
CTSD	P07339	1509
ANXA2	P07355	302
GP1BA	P07359	2811
CAPN1	P07384	823
TUBB	P07437	203068
IVL	P07476	3713
PRSS2	P07478	5645
CHRNG	P07510	1146
ADRB2	P07550	154
DCN	P07585	1634
PSAP	P07602	5660
HEXB	P07686	3074
CTSL	P07711	1514
PFN1	P07737	5216
BPGM	P07738	669
CD3E	P07766	916
EPRS	P07814	2058
CTSB	P07858	1508
HSP90AA1	P07900	3320
HNRNPC	P07910	3183
UMOD	P07911	7369
LAMB1	P07942	3912
YES1	P07947	7525
LYN	P07948	4067
RET	P07949	5979
ERCC1	P07992	2067
THBS1	P07996	7057
SP1	P08047	6667
IGF1R	P08069	3480
RHO	P08100	6010
COL1A2	P08123	1278
RHOC	P08134	389
NGFR	P08138	4804
GLI1	P08151	2735
CHRM2	P08172	1129
CHRM4	P08173	1132
CD55	P08174	1604
ABCB1	P08183	5243
SLC3A2	P08195	6520
PFKM	P08237	5213
HSP90AB1	P08238	3326
ASNS	P08243	440
ELANE	P08246	1991
SYP	P08247	6855
MMP2	P08253	4313
MMP3	P08254	4314
CTSG	P08311	1511
ADH4	P08319	127
MME	P08473	4311
INHBA	P08476	3624
PDHA1	P08559	5160
PLEK	P08567	5341
CD14	P08571	929
PTPRC	P08575	5788
MELTF	P08582	4241
ADRB1	P08588	153
MYL3	P08590	4634
FGF4	P08620	2249
SNRNP70	P08621	6625
HCK	P08631	3055
ITGA5	P08648	3678
CYP3A4	P08684	1576
CYP21A2	P08686	1589
SERPINF2	P08697	5345
IL3	P08700	3562
RPS17	P08708	6218
F7	P08709	2155
GNAI3	P08754	2773
KRT16	P08779	3868
IGFBP1	P08833	3484
RPSA	P08865	3921
IL6R	P08887	3570
HTR1A	P08908	3350
ADRA2A	P08913	150
ROS1	P08922	6098
CD63	P08962	967
PKHD1	P08F94	5314
FGF2	P09038	2247
ACAA1	P09110	30
DBH	P09172	1621
GSTP1	P09211	2950
VIL1	P09327	7429
CXCL1	P09341	2919
LGALS1	P09382	3956
HMGB1	P09429	3146
TNP1	P09430	7141
PAEP	P09466	5047
FBP1	P09467	2203
SPARC	P09486	6678
GSTM1	P09488	2944
TPM1	P09493	7168
CLTA	P09496	1211
ANXA4	P09525	307
INHBB	P09529	3625
WNT2	P09544	7472
HMOX1	P09601	3162
CSF1	P09603	1435
PDGFRB	P09619	5159
DLD	P09622	1738
HNRNPA1	P09651	3178
CTSH	P09668	1512
CD3G	P09693	917
TACSTD2	P09758	4070
FGR	P09769	2268
PARP1	P09874	142
POLA1	P09884	5422
IFI6	P09912	2537
IFIT2	P09913	3433
IFIT1	P09914	3434
ALOX5	P09917	240
