RNAseq_sample_name,replicate_sample,sample_name,well_id,microarray_run_id,ontology_color,main_structure,sub_structure,ontology_structure_id,ontology_structure_acronym,hemisphere,brain,million_clusters,clip_percentage,RIN_RNA_quality,rnaseq_run_id,A.Pct,C.Pct,G.Pct,T.Pct,N.Pct
S020350_L3.LB16,No,S020350,5091,275-205,#FF6C62,PL,PoG-cs,4092,PoG-cs,R,2,37.443,1.46,6.2,H15602,25.4,24.71,23.99,25.9,0
S020352_L2.LB6,No,S020352,5107,275-207,#E8CF59,FL,PCLa-s,4073,PCLa-s,L,2,41.706,1.96,7,H15970,25.4,24.28,23.92,25.75,0.65
S020353_L5.LB4,No,S020353,5115,275-205,#E8CF59,FL,PCLa-i,4074,PCLa-i,L,2,50.968,3.71,6.9,H16345,24.69,25.35,24.95,25,0.01
S020354_L7.LB12,No,S020354,5123,275-207,#E8CF59,FL,PCLa-s,4076,PCLa-s,R,2,50.721,1.6,6.7,H16345,25.11,24.88,24.46,25.54,0.01
S020355_L1.LB4,No,S020355,5131,275-205,#E8CF59,FL,PCLa-i,4077,PCLa-i,R,2,32.395,2.46,6.8,H16345,24.74,25.3,24.87,25.08,0.01
S020356_L6.LB11,No,S020356,5139,275-207,#7F5B33,CgG,CgG,4223,CgGf-s,L,2,29.933,1.13,6.7,H15601,25.34,24.62,24.25,25.8,0
S020361_L7.LB14,No,S020361,5179,275-207,#FF6C62,PL,PoG-cs,4087,PoG-cs,L,2,57.263,1.74,7.1,H16345,24.89,25.05,24.73,25.32,0.01
S020366_L1.LB1,No,S020366,5124,275-207,#FF5D62,PL,SMG-i,4107,SMG-i,L,2,39.696,1.65,6.8,H16345,24.96,25.05,24.63,25.36,0.01
S020374_L5.LB5,No,S020374,5093,275-205,#FF997F,TL,STG,4136,STG-i,L,2,31.177,2.47,7.3,H15602,25.23,24.99,24.19,25.59,0
S020377_L6.LB10,No,S020377,5117,275-205,#FF877F,TL,FuG-its,4162,FuG-its,R,2,32.525,1.99,7.1,H15602,25.44,24.68,23.97,25.91,0
S020385_L7.LB15,No,S020385,5181,275-207,#FF5D62,PL,AnG-s,4116,AnG-s,R,2,30.934,4.73,6.9,H15602,25.63,24.78,23.96,25.63,0
S020386_L2.LB4,No,S020386,5094,275-205,#FF7462,PL,Pcu,4123,Pcu-s,R,2,32.796,4.53,6.6,H15970,25.1,24.68,24.21,25.35,0.65
S020390_L1.LB2,No,S020390,5118,275-209,#FF5D62,PL,AnG-s,4113,AnG-s,L,2,33.9,2.11,7.2,H15601,25.33,24.83,24.17,25.67,0
S020391_L4.LB25,No,S020391,5126,275-205,#FF7462,PL,Pcu,4121,Pcu-i,L,2,40.448,1.78,6.3,H16345,25.16,24.82,24.45,25.56,0.01
S020393_L4.LB22,No,S020393,5201,275-207,#FF5D62,PL,AnG-i,4117,AnG-i,R,2,32.037,3.71,7.3,H15602,25.42,24.88,24.03,25.66,0
S020401_L3.LB16,No,S020401,5111,275-205,#E87751,OL,str_V1,4187,Cun-str,L,2,35.062,1.74,6.9,H15601,25.52,24.64,23.98,25.87,0
S020411_L1.LB4,No,S020411,5096,275-205,#E87751,OL,pest_V2,4189,Cun-pest,R,2,29.358,4.21,7.1,H15602,25.37,24.85,24.11,25.66,0.01
S020414_L2.LB7,No,S020414,5120,275-207,#E88051,OL,str_V1,4197,LiG-str,R,2,29.893,2.03,8.3,H15602,25.57,24.68,23.76,25.99,0.01
S020416_L3.LB18,No,S020416,5136,275-205,#E87751,OL,pest_V2,4186,Cun-pest,L,2,34.355,1.62,7.9,H15601,25.22,24.85,24.29,25.64,0
S020444_L5.LB2,No,S020444,5217,275-207,#FFF161,Ins,Insula,4271,LIG,R,2,33.031,2.24,7.6,H15602,25.71,24.41,23.75,26.13,0
S020448_L2.LB8,No,S020448,5249,275-207,#FFF161,Ins,Insula,4270,LIG,L,2,34.237,1.93,7.6,H15602,26.18,24.1,23.28,26.43,0.01
S020492_L3.LB13,No,S020492,5210,275-207,#FF877F,TL,FuG-its,4158,FuG-its,L,2,37.233,1.79,7.4,H15601,25.68,24.46,23.91,25.95,0
S020495_L8.LB21,No,S020495,5234,275-207,#BF934C,PHG,PHG,4244,PHG-l,L,2,31.087,2.3,7.2,H15601,25.59,24.5,23.98,25.93,0
S020555_L6.LB11,No,S020555,7137,275-209,#9C53E8,GP,GP,4296,GPi,L,2,29.468,1.57,5.6,H15602,25.11,24.85,24.36,25.67,0
S020560_L5.LB27,No,S020560,7177,275-209,#9C53E8,GP,GP,4298,GPe,R,2,36.413,1.6,6.3,H15602,26.24,23.95,23.16,26.65,0
S020562_L8.LB20,No,S020562,7193,275-209,#BF934C,PHG,PHG,4248,PHG-cos,R,2,32.918,1.89,6.6,H15601,25.4,24.66,24.16,25.77,0
S020656_L7.LB18,No,S020656,8366,275-213,#00D5E8,CbCx,CbCx,4775,He-VIIIA,R,2,33.676,1.27,7.5,H15601,25.58,24.52,23.9,26,0
S020671_L7.LB16,No,S020671,8391,275-213,#00D5E8,CbCx,CbCx,4752,PV-IV,R,2,38.07,1.04,7.4,H15601,25.64,24.57,23.71,26.09,0
S020671_L7.LB16b,Yes,S020671,8391,275-213,#00D5E8,CbCx,CbCx,4752,PV-IV,R,2,37.795,1.06,7.4,H15602,25.56,24.61,23.77,26.06,0
S020697_L1.LB3,No,S020697,8409,275-213,#00D5E8,CbCx,CbCx,4725,PV-VIIB,L,2,30.637,5.71,7.4,H15601,25.67,24.69,23.73,25.91,0
S020722_L4.LB25,No,S020722,8403,275-213,#00D5E8,CbCx,CbCx,4740,He-Crus II,L,2,35.549,1.63,7.8,H15602,25.51,24.69,23.82,25.97,0
