structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z
4280,6,126431627,CX,"HCd","head of caudate nucleus, left",1403557,104,93,77,-13.0,14.0,16.0
4024,5,126431689,CX,"SFG-l","superior frontal gyrus, left, lateral bank of gyrus",1403303,119,55,64,-28.0,27.0,54.0
4051,5,126431787,CX,"MOrG","medial orbital gyrus, left",1403313,112,137,68,-21.0,23.0,-28.0
4273,5,126431803,CX,"SIG","short insular gyri, left",1403316,116,126,68,-25.0,23.0,-17.0
4023,4,126434319,CX,"SFG-m","superior frontal gyrus, left, medial bank of gyrus",1395887,103,55,55,-12.0,36.0,54.0
4901,4,126426475,CX,"IRoG","inferior rostral gyrus, left",1395896,97,126,58,-6.0,33.0,-17.0
4051,4,126426411,CX,"MOrG","medial orbital gyrus, left",1395898,99,137,58,-8.0,33.0,-28.0
4273,4,126426523,CX,"SIG","short insular gyri, left",1395892,125,124,57,-34.0,34.0,-15.0
4031,3,126426551,CX,"MFG-i","middle frontal gyrus, left, inferior bank of gyrus",1395874,135,106,43,-44.0,48.0,3.0
4060,3,126426505,CX,"LOrG","lateral orbital gyrus, left",1395871,123,131,44,-32.0,47.0,-22.0
4045,3,126426489,CX,"orIFG","inferior frontal gyrus, orbital part, left",1395870,133,126,44,-42.0,47.0,-17.0
4039,3,126426473,CX,"trIFG","inferior frontal gyrus, triangular part, left",1395869,134,121,44,-43.0,47.0,-12.0
4024,2,126426391,CX,"SFG-l","superior frontal gyrus, left, lateral bank of gyrus",1395864,111,82,35,-20.0,56.0,27.0
4054,2,126426487,CX,"AOrG","anterior orbital gyrus, left",1395862,107,133,38,-16.0,53.0,-24.0
4060,2,126426519,CX,"LOrG","lateral orbital gyrus, left",1395855,120,128,38,-29.0,53.0,-19.0
4288,5,127687506,CX,"Pu","putamen, left",1394712,111,105,67,-20.0,24.0,4.0
4280,5,127687490,CX,"HCd","head of caudate nucleus, left",1394711,108,102,67,-17.0,24.0,7.0
4598,7,127687605,CX,"AHA","anterior hypothalamic area, left",119961819,94,117,88,-3.0,3.0,-8.0
4593,7,127687588,CX,"SO","supraoptic nucleus, left",114356719,97,121,87,-6.0,4.0,-12.0
4596,7,127687572,CX,"LHA","lateral hypothalamic area, anterior region, left",114356720,98,115,88,-7.0,3.0,-6.0
4573,7,127687556,CX,"PVH","paraventricular nucleus of the hypothalamus, left",119961764,93,111,88,-2.0,3.0,-2.0
4542,7,127687540,CX,"PrOR","preoptic region, left",119961804,94,111,88,-3.0,3.0,-2.0
4311,7,127687524,CX,"DBh","nucleus of the diagonal band, left, vertical division",114356721,107,125,87,-16.0,4.0,-16.0
10145,7,127687492,CX,"OlfT","olfactory tubercle, left",114320370,113,127,87,-22.0,4.0,-18.0
10143,7,127687667,CX,"Pir","piriform cortex, left",119962083,122,128,87,-31.0,4.0,-19.0
4322,7,127687651,CX,"Cl","claustrum, left",114357403,123,112,87,-32.0,4.0,-3.0
4313,7,127687635,CX,"BST","bed  nucleus of stria terminalis, left",119961765,96,104,88,-5.0,3.0,5.0
4310,7,127687619,CX,"DBv","nucleus of the diagonal band, left, horizontal division",114234667,95,115,88,-4.0,3.0,-6.0
4301,7,127687603,CX,"SptN","septal nuclei, left",114376339,94,100,88,-3.0,3.0,9.0
4291,7,127687586,CX,"Acb","nucleus accumbens, left",113835983,102,117,88,-11.0,3.0,-8.0
4784,64,127687985,CB,"Fas","fastigial nucleus, left",114237361,83,141,140,8.0,-49.0,-32.0
4785,63,127687969,CB,"Glo","globose nucleus, left",114210337,96,141,146,-5.0,-55.0,-32.0
4782,63,127687937,CB,"Dt","dentate nucleus, left",113279103,96,136,146,-5.0,-55.0,-27.0
4782,62,127687921,CB,"Dt","dentate nucleus, left",113267863,107,143,146,-16.0,-55.0,-34.0
4256,9,127687558,CX,"CA3","CA3 field, left",113670035,119,125,109,-28.0,-18.0,-16.0
4255,9,127687526,CX,"CA2","CA2 field, left",113667270,124,123,109,-33.0,-18.0,-14.0
4322,9,127687494,CX,"Cl","claustrum, left",112705907,126,112,109,-35.0,-18.0,-3.0
4288,9,127687669,CX,"Pu","putamen, left",113567322,124,115,109,-33.0,-18.0,-6.0
4281,9,127687653,CX,"TCd","tail of caudate nucleus, left",113580235,125,121,109,-34.0,-18.0,-12.0
4254,9,127687637,CX,"CA1","CA1 field, left",1408736,126,126,109,-35.0,-18.0,-17.0
9075,8,127687905,CX,"SNR","substantia nigra, pars reticulata, left",111317335,104,118,98,-13.0,-7.0,-9.0
4518,8,127687889,CX,"Sb","subthalamic nucleus, left",1408598,105,112,98,-14.0,-7.0,-3.0
4507,8,127687873,CX,"ZI","zona incerta, left",111317334,105,107,98,-14.0,-7.0,2.0
4597,8,127687841,CX,"PalHy","pallidohypothalamic nucleus, left",113603636,102,118,98,-11.0,-7.0,-9.0
4675,8,127687825,CX,"LM","lateral mammillary nucleus, left",113558001,103,115,98,-12.0,-7.0,-6.0
13005,8,127687999,CX,"LHM","lateral hypothalamic area, mammillary region, left",111833022,101,113,98,-10.0,-7.0,-4.0
4669,8,127687983,CX,"SuM","supramammillary nucleus, left",113603638,98,116,98,-7.0,-7.0,-7.0
4672,8,127687967,CX,"MM","medial mammillary nucleus, left",113891640,101,119,98,-10.0,-7.0,-10.0
4679,8,127687951,CX,"PHA","posterior hypothalamic area, left",113603982,99,107,98,-8.0,-7.0,2.0
4672,8,127687935,CX,"MM","medial mammillary nucleus, left",111315526,100,119,98,-9.0,-7.0,-10.0
13008,8,127687919,CX,"LHT","lateral hypothalamic area, tuberal region, left",112369307,101,110,98,-10.0,-7.0,-1.0
10151,8,127687903,CX,"LTu","lateral tuberal nucleus, left",113556801,105,115,98,-14.0,-7.0,-6.0
4667,8,127687887,CX,"TM","tuberomammillary nucleus, left",111832970,102,115,98,-11.0,-7.0,-6.0
4648,8,127687871,CX,"PeF","perifornical nucleus, left",111263910,104,115,98,-13.0,-7.0,-6.0
